mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlknn__k,param_mlknn__s,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
13.704819679260254,0.009990453720092773,10.908201813697815,0.2558046579360962,6,0.5,"{'mlknn__k': 6, 'mlknn__s': 0.5}",0.7697569494978898,0.7630937430745365,0.7664253462862132,0.003331603211676637,2,0.8285074734637881,0.8374306106264869,0.8329690420451374,0.00446156858134944
13.352881073951721,0.17012321949005127,11.257412075996399,0.24125349521636963,6,1.0,"{'mlknn__k': 6, 'mlknn__s': 1.0}",0.7696342707270873,0.7634424529699303,0.7665383618485089,0.003095908878578524,1,0.8282988871224165,0.8365266430482249,0.8324127650853207,0.004113877962904189
13.07270073890686,0.2437288761138916,10.533053874969482,0.36670351028442383,6,1.5,"{'mlknn__k': 6, 'mlknn__s': 1.5}",0.7681635633442861,0.7631872628524664,0.7656754130983763,0.0024881502459098703,3,0.8269815968700188,0.8351584596417433,0.831070028255881,0.0040884313858622345
12.771785974502563,0.09910082817077637,10.626537442207336,0.09040725231170654,6,2.0,"{'mlknn__k': 6, 'mlknn__s': 2.0}",0.7657954462259315,0.7616196392485591,0.7637075427372453,0.0020879034886862047,4,0.8259479877960191,0.8324939785417123,0.8292209831688657,0.003272995372846588
13.208812594413757,0.11687886714935303,10.19550609588623,0.07542157173156738,8,0.5,"{'mlknn__k': 8, 'mlknn__s': 0.5}",0.7641018008632237,0.7630066322770818,0.7635542165701528,0.0005475842930709462,5,0.8167500735943479,0.8301423307564482,0.8234462021753981,0.00669612858105012
13.38029134273529,0.0004996061325073242,10.599757313728333,0.13885772228240967,8,1.0,"{'mlknn__k': 8, 'mlknn__s': 1.0}",0.7636363636363636,0.7630801064144253,0.7633582350253945,0.00027812861096915276,6,0.8148915698319888,0.8293248333816285,0.8221082016068086,0.007216631774819848
12.996430158615112,0.035588979721069336,9.986600756645203,0.04656326770782471,8,1.5,"{'mlknn__k': 8, 'mlknn__s': 1.5}",0.7624999999999998,0.760074487895717,0.7612872439478584,0.0012127560521414393,9,0.8126488095238096,0.8260520749762964,0.819350442250053,0.006701632726243412
12.873898386955261,0.18680918216705322,10.507203459739685,0.5160509347915649,8,2.0,"{'mlknn__k': 8, 'mlknn__s': 2.0}",0.7605102271869575,0.7589666791463872,0.7597384531666723,0.0007717740202851653,10,0.8108269331146074,0.8236672524897481,0.8172470928021778,0.00642015968757037
13.30949354171753,0.3507416248321533,10.022427082061768,0.07984590530395508,10,0.5,"{'mlknn__k': 10, 'mlknn__s': 0.5}",0.765733747963868,0.7569744890347606,0.7613541184993142,0.004379629464553669,7,0.8111151736745887,0.8225512362336809,0.8168332049541348,0.005718031279546065
13.031631469726562,0.23607969284057617,10.153892755508423,0.052451133728027344,10,1.0,"{'mlknn__k': 10, 'mlknn__s': 1.0}",0.7657898647644524,0.7568865871050062,0.7613382259347293,0.0044516388297231035,8,0.8094923223863051,0.8204977608105132,0.8149950415984091,0.005502719212104046
13.235816359519958,0.19876396656036377,10.009121417999268,0.020993471145629883,10,1.5,"{'mlknn__k': 10, 'mlknn__s': 1.5}",0.7636009878021403,0.7539472690186597,0.7587741284103999,0.004826859391740268,11,0.805304489554008,0.8168119367705717,0.8110582131622899,0.005753723608281858
13.276197671890259,0.42714524269104004,10.063839435577393,0.12837886810302734,10,2.0,"{'mlknn__k': 10, 'mlknn__s': 2.0}",0.7605761940864291,0.7507041181396057,0.7556401561130174,0.004936037973411689,14,0.7984379693601682,0.8111086292904476,0.8047732993253078,0.006335329965139691
13.28339672088623,0.14391684532165527,10.262665033340454,0.38017797470092773,12,0.5,"{'mlknn__k': 12, 'mlknn__s': 0.5}",0.7607536971698822,0.7536599940244996,0.7572068455971909,0.003546851572691301,12,0.802611082263927,0.8159008023340627,0.8092559422989949,0.006644860035067868
13.22537386417389,0.01798093318939209,10.004860520362854,0.03647792339324951,12,1.0,"{'mlknn__k': 12, 'mlknn__s': 1.0}",0.759918385853548,0.7531959693186945,0.7565571775861213,0.003361208267426752,13,0.7999701336519077,0.813257881972514,0.8066140078122108,0.006643874160303154
13.227759838104248,0.004494428634643555,10.009039640426636,0.04242563247680664,12,1.5,"{'mlknn__k': 12, 'mlknn__s': 1.5}",0.7551393330287802,0.7485175611981147,0.7518284471134475,0.0033108859153327397,15,0.7953075650473755,0.8066076344966143,0.8009575997719949,0.0056500347246193905
13.084515571594238,0.01795816421508789,10.114860773086548,0.07751941680908203,12,2.0,"{'mlknn__k': 12, 'mlknn__s': 2.0}",0.7532288880397401,0.7453416149068324,0.7492852514732862,0.003943636566453856,16,0.791779993955878,0.7994286573447601,0.795604325650319,0.0038243316944410743
