mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_dt__max_depth,param_dt__min_samples_split,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
24.228286027908325,0.45165491104125977,10.09113621711731,0.07558035850524902,16,0.005,"{'dt__max_depth': 16, 'dt__min_samples_split': 0.005}",0.5760956175298805,0.5772528717036078,0.5766742446167441,0.0005786270868636811,2,0.6459318637274549,0.6490499760498165,0.6474909198886357,0.001559056161180794
24.608934998512268,0.24919354915618896,9.971792578697205,0.028963446617126465,16,0.01,"{'dt__max_depth': 16, 'dt__min_samples_split': 0.01}",0.5692833903395345,0.5726538849646822,0.5709686376521084,0.0016852473125738565,4,0.6185120386570023,0.6131766680654638,0.615844353361233,0.002667685295769273
26.11129379272461,0.3786203861236572,10.627229928970337,0.6634945869445801,16,2,"{'dt__max_depth': 16, 'dt__min_samples_split': 2}",0.5555161907461206,0.560896744988144,0.5582064678671323,0.0026902771210117193,7,0.7151952461799661,0.712212643678161,0.7137039449290635,0.001491301250902577
27.147453784942627,0.6185822486877441,10.04395604133606,0.21980643272399902,32,0.005,"{'dt__max_depth': 32, 'dt__min_samples_split': 0.005}",0.5835407591785936,0.5735550277117972,0.5785478934451954,0.0049928657333981885,1,0.6587232699439755,0.6518414481897628,0.655282359066869,0.0034409108771063512
29.105623364448547,0.8780757188796997,11.898169040679932,0.02073049545288086,32,0.01,"{'dt__max_depth': 32, 'dt__min_samples_split': 0.01}",0.5689274318906978,0.5664231152441049,0.5676752735674013,0.0012521583232964484,6,0.6215435410647957,0.6145574855252274,0.6180505132950116,0.0034930277697841627
27.673544049263,0.9368487596511841,10.075415968894958,0.2744544744491577,32,2,"{'dt__max_depth': 32, 'dt__min_samples_split': 2}",0.5475519433702563,0.5293963598271573,0.5384741515987068,0.009077791771549493,8,0.7377266110890565,0.7280954879328436,0.7329110495109501,0.00481556157810642
27.490358471870422,1.676409125328064,10.04816722869873,0.31117701530456543,,0.005,"{'dt__max_depth': None, 'dt__min_samples_split': 0.005}",0.5754495699765442,0.5712714992539072,0.5733605346152257,0.002089035361318492,3,0.6543248778950685,0.6522587188889755,0.653291798392022,0.0010330795030465412
26.61751914024353,0.3285856246948242,10.893810272216797,0.490062952041626,,0.01,"{'dt__max_depth': None, 'dt__min_samples_split': 0.01}",0.5699473200100343,0.5693926588781175,0.569669989444076,0.0002773305659584113,5,0.6134701084671655,0.611874386653582,0.6126722475603738,0.0007978609067917919
29.716756224632263,0.09043300151824951,10.855405330657959,1.1295392513275146,,2,"{'dt__max_depth': None, 'dt__min_samples_split': 2}",0.5380677343134681,0.5331400711556199,0.5356039027345441,0.0024638315789241028,9,0.7356977129598941,0.7186192468619247,0.7271584799109094,0.008539233048984685
