mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
54.02770256996155,1.052016258239746,13.1728013753891,0.410225510597229,5,0.005,100,"{'rf__min_samples_leaf': 5, 'rf__min_samples_split': 0.005, 'rf__n_estimators': 100}",0.5749720253636703,0.562564632885212,0.5687683291244412,0.006203696239229173,17,0.6034308779011099,0.5986206896551725,0.6010257837781412,0.002405094122968743
58.10410189628601,0.13532400131225586,13.043002605438232,0.09783506393432617,5,0.005,110,"{'rf__min_samples_leaf': 5, 'rf__min_samples_split': 0.005, 'rf__n_estimators': 110}",0.5752608047690015,0.559622641509434,0.5674417231392177,0.007819081629783786,18,0.5993743099006257,0.5992089044246159,0.5992916071626209,8.270273800486949e-05
92.01428937911987,28.30669903755188,13.612041473388672,0.0459132194519043,5,0.005,120,"{'rf__min_samples_leaf': 5, 'rf__min_samples_split': 0.005, 'rf__n_estimators': 120}",0.578957134904435,0.5612216042982373,0.5700893696013362,0.008867765303098851,14,0.6021998166819432,0.5961290322580645,0.5991644244700038,0.0030353922119393806
50.64937663078308,0.7094824314117432,12.685667514801025,0.13637161254882812,5,0.01,100,"{'rf__min_samples_leaf': 5, 'rf__min_samples_split': 0.01, 'rf__n_estimators': 100}",0.5447967247453109,0.5245045915901402,0.5346506581677255,0.010146066577585378,26,0.554996678371453,0.5471176750833731,0.5510571767274131,0.003939501644039944
55.000335574150085,0.10743272304534912,13.179692149162292,0.07619082927703857,5,0.01,110,"{'rf__min_samples_leaf': 5, 'rf__min_samples_split': 0.01, 'rf__n_estimators': 110}",0.546907706945766,0.53052185634508,0.538714781645423,0.00819292530034299,20,0.5528764002278337,0.5517568850902185,0.552316642659026,0.0005597575688076062
58.431642293930054,0.1145930290222168,13.623060584068298,0.17579925060272217,5,0.01,120,"{'rf__min_samples_leaf': 5, 'rf__min_samples_split': 0.01, 'rf__n_estimators': 120}",0.5424537302041595,0.5299046518347298,0.5361791910194447,0.006274539184714878,22,0.5545342556618971,0.55767776096823,0.5561060083150635,0.0015717526531664472
54.66097390651703,1.0812402963638306,12.654528141021729,0.06643891334533691,5,2,100,"{'rf__min_samples_leaf': 5, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.5955457794885894,0.5891587404192447,0.592352259953917,0.0031935195346723955,9,0.6410714285714286,0.6444721381520385,0.6427717833617336,0.0017003547903049476
58.66871178150177,0.7849308252334595,13.624079823493958,0.05140101909637451,5,2,110,"{'rf__min_samples_leaf': 5, 'rf__min_samples_split': 2, 'rf__n_estimators': 110}",0.595347133174574,0.5934045689019897,0.5943758510382818,0.000971282136292162,7,0.6357200465991576,0.6498092449649543,0.6427646457820559,0.007044599182898348
63.66732597351074,0.05718183517456055,14.02913773059845,0.2921940088272095,5,2,120,"{'rf__min_samples_leaf': 5, 'rf__min_samples_split': 2, 'rf__n_estimators': 120}",0.598848368522073,0.5876155268022182,0.5932319476621456,0.005616420859927418,8,0.643194580622159,0.639392585975882,0.6412935832990205,0.0019009973231384758
55.446120619773865,0.054360032081604004,13.849953651428223,0.5755500793457031,3,0.005,100,"{'rf__min_samples_leaf': 3, 'rf__min_samples_split': 0.005, 'rf__n_estimators': 100}",0.5789767441860465,0.5664663912880211,0.5727215677370339,0.006255176449012689,12,0.6070644216691069,0.6028075970272502,0.6049360093481786,0.0021284123209283634
60.120375633239746,0.587916374206543,13.305138945579529,0.4343010187149048,3,0.005,110,"{'rf__min_samples_leaf': 3, 'rf__min_samples_split': 0.005, 'rf__n_estimators': 110}",0.5799814643188136,0.5655276004506197,0.5727545323847166,0.0072269319340969584,11,0.6072571062974135,0.6049405306495883,0.6060988184735009,0.0011582878239125849
64.79213201999664,0.6644390821456909,13.146745204925537,0.14877653121948242,3,0.005,120,"{'rf__min_samples_leaf': 3, 'rf__min_samples_split': 0.005, 'rf__n_estimators': 120}",0.5813091043945856,0.566300159759421,0.5738046320770034,0.007504472317582278,10,0.6076712328767123,0.6007897878593075,0.6042305103680099,0.0034407225087024207
53.956950426101685,0.01590251922607422,13.42471992969513,0.27142536640167236,3,0.01,100,"{'rf__min_samples_leaf': 3, 'rf__min_samples_split': 0.01, 'rf__n_estimators': 100}",0.5442073170731707,0.5269970056988312,0.5356021613860009,0.008605155687169741,24,0.5502947328389428,0.549847792998478,0.5500712629187103,0.00022346992023242196
56.783798933029175,1.1173481941223145,13.225902438163757,0.32606756687164307,3,0.01,110,"{'rf__min_samples_leaf': 3, 'rf__min_samples_split': 0.01, 'rf__n_estimators': 110}",0.5452471482889734,0.5301645338208409,0.5377058410549072,0.007541307234066208,21,0.5561984254955895,0.5576158940397351,0.5569071597676623,0.0007087342720727974
61.40741455554962,0.9542828798294067,13.615296483039856,0.040274739265441895,3,0.01,120,"{'rf__min_samples_leaf': 3, 'rf__min_samples_split': 0.01, 'rf__n_estimators': 120}",0.54155137868524,0.5281744500192975,0.5348629143522687,0.006688464332971211,25,0.5558505594538213,0.5520190023752968,0.553934780914559,0.0019157785392622806
59.20641481876373,0.9732002019882202,12.98407757282257,0.24897468090057373,3,2,100,"{'rf__min_samples_leaf': 3, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.6171769168247088,0.6047871368536452,0.610982026839177,0.006194889985531804,4,0.6768266132543759,0.6801042571676803,0.6784654352110281,0.0016388219566522144
