mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__activation,param_mlp__hidden_layer_sizes,param_mlp__solver,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
25.00458550453186,0.4853992462158203,9.705852150917053,0.22423326969146729,tanh,150,sgd,"{'mlp__activation': 'tanh', 'mlp__hidden_layer_sizes': 150, 'mlp__solver': 'sgd'}",0.5846730975348339,0.5789664551223934,0.5818197763286137,0.0028533212062202273,11,0.5906801007556675,0.5868145630199482,0.5887473318878078,0.0019327688678596466
27.108163595199585,0.22301578521728516,9.758471965789795,0.2776925563812256,tanh,150,adam,"{'mlp__activation': 'tanh', 'mlp__hidden_layer_sizes': 150, 'mlp__solver': 'adam'}",0.7588395954823947,0.758305211848519,0.7585724036654569,0.00026719181693785066,1,0.8482985729967069,0.8466293360482874,0.8474639545224971,0.0008346184742097362
26.21820092201233,0.5068755149841309,9.799896955490112,0.17560577392578125,tanh,"(100, 100)",sgd,"{'mlp__activation': 'tanh', 'mlp__hidden_layer_sizes': (100, 100), 'mlp__solver': 'sgd'}",0.5956617972554228,0.5965538791179359,0.5961078381866793,0.00044604093125655275,9,0.5964473801660269,0.6024734982332156,0.5994604391996212,0.003013059033594334
28.111364245414734,0.3907562494277954,9.759406447410583,0.18470394611358643,tanh,"(100, 100)",adam,"{'mlp__activation': 'tanh', 'mlp__hidden_layer_sizes': (100, 100), 'mlp__solver': 'adam'}",0.7554179566563467,0.7501101159888416,0.7527640363225941,0.0026539203337525574,3,0.8719412142398516,0.867114861965384,0.8695280381026178,0.0024131761372337968
24.96780574321747,0.8757263422012329,9.77572786808014,0.2670794725418091,tanh,"(50, 50, 50)",sgd,"{'mlp__activation': 'tanh', 'mlp__hidden_layer_sizes': (50, 50, 50), 'mlp__solver': 'sgd'}",0.5221263568048985,0.5282735299643059,0.5251999433846022,0.003073586579703691,12,0.5257442426511889,0.5304452914381332,0.5280947670446611,0.0023505243934721642
26.24181818962097,0.3933074474334717,9.74099326133728,0.26726198196411133,tanh,"(50, 50, 50)",adam,"{'mlp__activation': 'tanh', 'mlp__hidden_layer_sizes': (50, 50, 50), 'mlp__solver': 'adam'}",0.7323731241987783,0.724969474969475,0.7286712995841267,0.003701824614651683,6,0.8053952791307605,0.7989768281673186,0.8021860536490395,0.003209225481720923
26.126871705055237,0.4347618818283081,9.753527879714966,0.17493629455566406,relu,150,sgd,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': 150, 'mlp__solver': 'sgd'}",0.5969964664310954,0.5943531093638312,0.5956747878974633,0.0013216785336320758,10,0.6043370067543549,0.6022416379842909,0.6032893223693229,0.0010476843850319995
27.075464367866516,0.5276817083358765,9.70279049873352,0.1884608268737793,relu,150,adam,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': 150, 'mlp__solver': 'adam'}",0.7556974887501815,0.7580763046338255,0.7568868966920035,0.001189407941821985,2,0.8583859038503371,0.8549204310283308,0.856653167439334,0.001732736411003133
27.687334656715393,0.5235563516616821,9.727007865905762,0.27628207206726074,relu,"(100, 100)",sgd,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 100), 'mlp__solver': 'sgd'}",0.6392067124332571,0.626108117503911,0.6326574149685841,0.006549297464673032,7,0.6486118208141713,0.6343642611683848,0.6414880409912781,0.00712377982289325
28.91277778148651,0.40877044200897217,9.768917679786682,0.24325287342071533,relu,"(100, 100)",adam,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 100), 'mlp__solver': 'adam'}",0.7542582514665348,0.7439896966227819,0.7491239740446584,0.005134277421876443,4,0.8909179619432634,0.8900976290097627,0.890507795476513,0.0004101664667503502
25.891215324401855,0.23844695091247559,9.778719067573547,0.2813678979873657,relu,"(50, 50, 50)",sgd,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (50, 50, 50), 'mlp__solver': 'sgd'}",0.6023844748063703,0.6178481779624341,0.6101163263844022,0.007731851578031912,8,0.610320440059373,0.6262435677530016,0.6182820039061874,0.00796156384681429
26.733458757400513,0.650017499923706,9.746821761131287,0.246055006980896,relu,"(50, 50, 50)",adam,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (50, 50, 50), 'mlp__solver': 'adam'}",0.7326145162457486,0.7350141684225824,0.7338143423341654,0.0011998260884168999,5,0.8372462616484867,0.8386028087864602,0.8379245352174735,0.0006782735689867536
