mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlknn__k,param_mlknn__s,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
43.24869227409363,1.420769453048706,29.204026699066162,2.1928346157073975,6,0.5,"{'mlknn__k': 6, 'mlknn__s': 0.5}",0.7341049150759057,0.7284807323195038,0.7312928236977048,0.0028120913782009316,3,0.8008277289187791,0.8026517083120858,0.8017397186154325,0.0009119896966533481
38.047500133514404,2.2212655544281006,29.499305844306946,1.5489007234573364,6,1.0,"{'mlknn__k': 6, 'mlknn__s': 1.0}",0.7353874037154509,0.7324973876698014,0.7339423956926261,0.001445008022824712,2,0.8019853322468331,0.7988522660388464,0.8004187991428398,0.0015665331039933506
41.92204034328461,1.965065360069275,33.466015696525574,2.6711612939834595,6,1.5,"{'mlknn__k': 6, 'mlknn__s': 1.5}",0.7381481197824922,0.7303785085408984,0.7342633141616952,0.003884805620796905,1,0.794164097164774,0.7964129548654858,0.7952885260151299,0.0011244288503559074
39.01702845096588,0.5833472013473511,28.35476016998291,3.4693005084991455,6,2.0,"{'mlknn__k': 6, 'mlknn__s': 2.0}",0.7319698600645856,0.7288045540796964,0.730387207072141,0.0015826529924446442,5,0.792355918120704,0.7938098086124401,0.7930828633665721,0.000726945245868027
36.80016624927521,3.8421679735183716,27.128522634506226,0.8124139308929443,8,0.5,"{'mlknn__k': 8, 'mlknn__s': 0.5}",0.7310397553516819,0.7221598982873382,0.72659982681951,0.004439928532171844,11,0.7868138469625291,0.7885824151445684,0.7876981310535487,0.0008842840910196492
37.27880048751831,2.3184456825256348,25.552879810333252,0.23834824562072754,8,1.0,"{'mlknn__k': 8, 'mlknn__s': 1.0}",0.7318669609559328,0.7249848392965433,0.7284259001262381,0.003441060829694753,7,0.790156800960312,0.783428058629973,0.7867924297951425,0.003364371165169522
33.870100259780884,2.5589795112609863,24.929972290992737,1.641959309577942,8,1.5,"{'mlknn__k': 8, 'mlknn__s': 1.5}",0.7349648730023933,0.7274803929033733,0.7312226329528833,0.003742240049510015,4,0.782965156000911,0.781182111019552,0.7820736335102315,0.000891522490679475
30.06015133857727,1.0179924964904785,23.450112342834473,0.8506720066070557,8,2.0,"{'mlknn__k': 8, 'mlknn__s': 2.0}",0.7282130451563102,0.7265374637570579,0.727375254456684,0.0008377906996261952,8,0.7810390595373532,0.7774186273772834,0.7792288434573182,0.0018102160800348988
29.825496912002563,0.6335055828094482,22.99913728237152,0.008249640464782715,10,0.5,"{'mlknn__k': 10, 'mlknn__s': 0.5}",0.7294898510457668,0.7247413268411442,0.7271155889434555,0.0023742621023112864,9,0.7778620166793025,0.7732113394330283,0.7755366780561654,0.0023253386231371076
31.4300856590271,1.6178650856018066,23.489135146141052,1.0836321115493774,10,1.0,"{'mlknn__k': 10, 'mlknn__s': 1.0}",0.730924317617866,0.7260273972602741,0.7284758574390701,0.0024484601787959637,6,0.7775232859978622,0.7733794035904754,0.7754513447941689,0.002071941203693417
32.67400026321411,1.0305368900299072,23.7923686504364,0.5871133804321289,10,1.5,"{'mlknn__k': 10, 'mlknn__s': 1.5}",0.7286845783506756,0.7237657864523537,0.7262251824015147,0.0024593959491609474,12,0.7737949969493594,0.7708396483782964,0.7723173226638279,0.0014776742855314717
29.581581950187683,0.22654616832733154,22.598655104637146,0.04294145107269287,10,2.0,"{'mlknn__k': 10, 'mlknn__s': 2.0}",0.7248627450980393,0.7247770453664212,0.7248198952322302,4.284986580904704e-05,13,0.7667697063369396,0.7678803144798106,0.7673250104083751,0.0005553040714355029
29.62205934524536,0.291179895401001,22.482685923576355,0.005804896354675293,12,0.5,"{'mlknn__k': 12, 'mlknn__s': 0.5}",0.7302199922809727,0.7239524134272941,0.7270862028541334,0.003133789426839284,10,0.7760404864415741,0.770375939849624,0.7732082131455991,0.0028322732959750185
29.872798681259155,0.5224711894989014,22.93208646774292,0.037981510162353516,12,1.0,"{'mlknn__k': 12, 'mlknn__s': 1.0}",0.726906385616863,0.72,0.7234531928084316,0.0034531928084315378,14,0.771413317062009,0.7637245981195026,0.7675689575907558,0.0038443594712532225
29.75098991394043,0.29515624046325684,22.640790939331055,0.0844569206237793,12,1.5,"{'mlknn__k': 12, 'mlknn__s': 1.5}",0.7211139795040288,0.7196614082339361,0.7203876938689824,0.0007262856350463421,15,0.7653446284174048,0.7589531680440771,0.762148898230741,0.0031957301866638588
30.41860568523407,0.956863522529602,23.2197083234787,0.6979676485061646,12,2.0,"{'mlknn__k': 12, 'mlknn__s': 2.0}",0.7201504230648699,0.7067681090505628,0.7134592660577164,0.006691157007153559,16,0.7630565398243723,0.7524396908423765,0.7577481153333744,0.005308424490997887
